art_movement,author_id,bio_url,birth_year,death_year,first_name,last_name,nationality,num_works
Old Lyme Colony,432,http://www.the-athenaeum.org/people/detail.php?ID=432,1858,1925.0,Willard Leroy,Metcalf,American,207
,92,http://www.the-athenaeum.org/people/detail.php?ID=92,1860,1920.0,Anders,Zorn,Swedish,206
Post-Impressionist,460,http://www.the-athenaeum.org/people/detail.php?ID=460,1871,1945.0,Emily,Carr,Canadian,205
,2394,http://www.the-athenaeum.org/people/detail.php?ID=2394,1864,1933.0,Edward Atkinson,Hornel,Scottish,204
Old Lyme Colony,479,http://www.the-athenaeum.org/people/detail.php?ID=479,1852,1896.0,Theodore,Robinson,American,204
,560,http://www.the-athenaeum.org/people/detail.php?ID=560,1755,1828.0,Gilbert Charles,Stuart,American,201
,2497,http://www.the-athenaeum.org/people/detail.php?ID=2497,1861,1942.0,Jacques-Émile,Blanche,French,200
,1055,http://www.the-athenaeum.org/people/detail.php?ID=1055,1857,1937.0,Robert Bruce,Crane,American,199
,4363,http://www.the-athenaeum.org/people/detail.php?ID=4363,1659,1743.0,Michael,Dahl,Swedish,198
Realist,2991,http://www.the-athenaeum.org/people/detail.php?ID=2991,1815,1905.0,Adolph Friedrich Erdmann,Von menzel,German,198
Mannerism,402,http://www.the-athenaeum.org/people/detail.php?ID=402,1541,1614.0,,El greco,Greek,197
Renaissance,1342,http://www.the-athenaeum.org/people/detail.php?ID=1342,1483,1520.0,,Raphael,Italian,197
,2950,http://www.the-athenaeum.org/people/detail.php?ID=2950,1701,1779.0,Thomas,Hudson,English,196
,1716,http://www.the-athenaeum.org/people/detail.php?ID=1716,1861,1942.0,Charles Courtney,Curran,American,194
Hudson River School,422,http://www.the-athenaeum.org/people/detail.php?ID=422,1823,1880.0,Sanford Robinson,Gifford,American,193
Academist,7357,http://www.the-athenaeum.org/people/detail.php?ID=7357,1849,1914.0,Hubert von,Herkomer,English,192
,2957,http://www.the-athenaeum.org/people/detail.php?ID=2957,1734,1797.0,Joseph,Wright of derby,English,191
,2568,http://www.the-athenaeum.org/people/detail.php?ID=2568,1849,1938.0,Christian,Rohlfs,German,190
Northern Renaissance,3540,http://www.the-athenaeum.org/people/detail.php?ID=3540,1525,1569.0,Pieter,Bruegel,Dutch,190
Dutch Golden Age,438,http://www.the-athenaeum.org/people/detail.php?ID=438,1625,1679.0,Jan Havicksz.,Steen,Dutch,189
Impressionist,993,http://www.the-athenaeum.org/people/detail.php?ID=993,1882,1922.0,Julian,Onderdonk,American,189
Dutch Golden Age,4433,http://www.the-athenaeum.org/people/detail.php?ID=4433,1628,1682.0,Jacob Isaacksz.,Van ruisdael,Dutch,187
Rococo,4931,http://www.the-athenaeum.org/people/detail.php?ID=4931,1725,1805.0,Jean-Baptiste,Greuze,French,187
Academist,3301,http://www.the-athenaeum.org/people/detail.php?ID=3301,1857,1945.0,Delphin,Enjolras,French,186
,5413,http://www.the-athenaeum.org/people/detail.php?ID=5413,1886,1939.0,Boris,Grigoriev,Russian,186
,718,http://www.the-athenaeum.org/people/detail.php?ID=718,1839,1921.0,William Aiken,Walker,American,185
,4290,http://www.the-athenaeum.org/people/detail.php?ID=4290,1868,1945.0,Nikolai Petrovich,Bogdanov-belsky,Russian,185
,1518,http://www.the-athenaeum.org/people/detail.php?ID=1518,1803,1902.0,Thomas Sidney,Cooper,English,185
,1441,http://www.the-athenaeum.org/people/detail.php?ID=1441,1795,1865.0,John Frederick,Herring,English,184
Romantic,3488,http://www.the-athenaeum.org/people/detail.php?ID=3488,1799,1852.0,Karl Pavlovich,Brulloff,Russian,184
,542,http://www.the-athenaeum.org/people/detail.php?ID=542,1861,1909.0,Frederic,Remington,American,184
,4302,http://www.the-athenaeum.org/people/detail.php?ID=4302,1856,1925.0,Walter,Moras,German,183
Classicist,3559,http://www.the-athenaeum.org/people/detail.php?ID=3559,1594,1665.0,Nicolas,Poussin,French,182
,345,http://www.the-athenaeum.org/people/detail.php?ID=345,1823,1906.0,Alfred Émile Léopold,Stevens,Belgian,182
Peredvizhniki,4298,http://www.the-athenaeum.org/people/detail.php?ID=4298,1842,1910.0,Arkhip Ivanovich,Kuindzhi,Russian,181
,2735,http://www.the-athenaeum.org/people/detail.php?ID=2735,1839,1924.0,George Goodwin,Kilburne,English,181
Hudson River School,473,http://www.the-athenaeum.org/people/detail.php?ID=473,1816,1872.0,John Frederick,Kensett,American,181
,6483,http://www.the-athenaeum.org/people/detail.php?ID=6483,1877,1917.0,Tom,Thomson,Canadian,179
,2607,http://www.the-athenaeum.org/people/detail.php?ID=2607,1837,1905.0,Oswald,Achenbach,German,179
,1785,http://www.the-athenaeum.org/people/detail.php?ID=1785,1865,1946.0,William,Wendt,German,179
,1850,http://www.the-athenaeum.org/people/detail.php?ID=1850,1881,1944.0,Ilya,Mashkov,Russian,179
,2863,http://www.the-athenaeum.org/people/detail.php?ID=2863,1852,1944.0,George,Clausen,English,178
Impressionist,3061,http://www.the-athenaeum.org/people/detail.php?ID=3061,1849,1916.0,Ignacio Pinazo,Camarlench,Spanish,177
Neoclassicist,4702,http://www.the-athenaeum.org/people/detail.php?ID=4702,1741,1807.0,Angelica,Kauffmann,Swiss,176
,8622,http://www.the-athenaeum.org/people/detail.php?ID=8622,1757,1825.0,Vladimir,Borovikovsky,Russian,175
Ashcan,1765,http://www.the-athenaeum.org/people/detail.php?ID=1765,1873,1939.0,Ernest,Lawson,American,175
,3674,http://www.the-athenaeum.org/people/detail.php?ID=3674,1862,1945.0,Jean,Mannheim,German,175
Dutch Golden Age,5465,http://www.the-athenaeum.org/people/detail.php?ID=5465,1633,1707.0,Willem,Van de velde the younger,Dutch,174
Old Lyme Colony,1755,http://www.the-athenaeum.org/people/detail.php?ID=1755,1853,1932.0,Emil,Carlsen,Danish,174
,582,http://www.the-athenaeum.org/people/detail.php?ID=582,1817,1894.0,James E.,Buttersworth,American,173
Romantic,8459,http://www.the-athenaeum.org/people/detail.php?ID=8459,1782,1842.0,John Sell,Cotman,English,172
Neoclassicist,5879,http://www.the-athenaeum.org/people/detail.php?ID=5879,1733,1810.0,Johann,Zoffany,German,172
Dutch Golden Age,3549,http://www.the-athenaeum.org/people/detail.php?ID=3549,1582,1666.0,Frans,Hals,Dutch,172
,8082,http://www.the-athenaeum.org/people/detail.php?ID=8082,1876,1941.0,Reginald Grenville,Eves,United Kingdom,171
Renaissance,3522,http://www.the-athenaeum.org/people/detail.php?ID=3522,1475,1564.0,Michelangelo,Buonarroti,Italian,171
